session_id,repetition_no,time_seconds,percent,angle
116,1,2.53915,86.0,51.742681
116,1,2.568675,87.0,46.570326
116,1,2.5982,88.0,41.398007
116,1,2.627725,89.0,36.225652
116,1,2.65725,90.0,30.896
116,1,2.686775,91.0,24.795417
116,1,2.7163,92.0,19.040126
116,1,2.745825,93.0,13.667207
116,1,2.77535,94.0,8.294252
116,1,2.804875,95.0,6.093
116,1,2.8344,96.0,4.122405
116,1,2.863925,97.0,2.7912
116,1,2.89345,98.0,2.4608
116,1,2.922975,99.0,2.130399
116,1,2.9525,100.0,1.8
116,2,0.0,0.0,1.8
116,2,0.029525,1.0,2.537103
116,2,0.05905,2.0,3.274199
116,2,0.088575,3.0,4.011301
116,2,0.1181,4.0,4.842974
116,2,0.147625,5.0,5.899278
116,2,0.17715,6.0,6.955581
116,2,0.206675,7.0,8.011876
116,2,0.2362,8.0,9.06818
116,2,0.265725,9.0,11.147297
116,2,0.29525,10.0,14.117614
116,2,0.324775,11.0,17.409544
116,2,0.3543,12.0,20.707221
116,2,0.383825,13.0,24.004925
116,2,0.41335,14.0,27.290422
116,2,0.442875,15.0,30.538083
116,2,0.4724,16.0,33.785745
116,2,0.501925,17.0,37.056669
116,2,0.53145,18.0,40.642956
116,2,0.560975,19.0,44.229213
116,2,0.5905,20.0,47.8155
116,2,0.620025,21.0,51.401787
116,2,0.64955,22.0,54.988044
116,2,0.679075,23.0,58.574331
116,2,0.7086,24.0,62.96185
116,2,0.738125,25.0,67.410357
116,2,0.76765,26.0,70.210267
116,2,0.797175,27.0,73.010152
116,2,0.8267,28.0,75.810062
116,2,0.856225,29.0,78.388067
116,2,0.88575,30.0,80.67025
116,2,0.915275,31.0,83.001846
116,2,0.9448,32.0,85.442296
116,2,0.974325,33.0,87.882767
116,2,1.00385,34.0,90.323217
116,2,1.033375,35.0,92.645375
116,2,1.0629,36.0,93.595103
116,2,1.092425,37.0,94.544823
116,2,1.12195,38.0,95.494552
116,2,1.151475,39.0,96.444272
116,2,1.181,40.0,97.486
116,2,1.210525,41.0,98.544404
116,2,1.24005,42.0,99.602798
116,2,1.269575,43.0,100.18331
116,2,1.2991,44.0,100.530516
116,2,1.328625,45.0,100.877725
116,2,1.35815,46.0,101.413135
116,2,1.387675,47.0,102.113681
116,2,1.4172,48.0,102.814233
116,2,1.446725,49.0,103.514779
116,2,1.47625,50.0,104.126429
116,2,1.505775,51.0,104.49093
116,2,1.5353,52.0,104.855428
116,2,1.564825,53.0,105.219929
116,2,1.59435,54.0,105.4542
116,2,1.623875,55.0,105.5865
116,2,1.6534,56.0,105.7188
116,2,1.682925,57.0,105.8511
116,2,1.71245,58.0,105.9834
116,2,1.741975,59.0,105.640052
116,2,1.7715,60.0,105.177
116,2,1.801025,61.0,104.081845
116,2,1.83055,62.0,102.692702
116,2,1.860075,63.0,101.303548
116,2,1.8896,64.0,99.967204
116,2,1.919125,65.0,98.682
116,2,1.94865,66.0,97.396796
116,2,1.978175,67.0,95.450106
116,2,2.0077,68.0,92.180394
116,2,2.037225,69.0,88.910711
116,2,2.06675,70.0,85.641
116,2,2.096275,71.0,82.429874
116,2,2.1258,72.0,79.742938
116,2,2.155325,73.0,77.055979
116,2,2.18485,74.0,74.369043
116,2,2.214375,75.0,69.9525
116,2,2.2439,76.0,65.397584
116,2,2.273425,77.0,60.842708
116,2,2.30295,78.0,56.287792
116,2,2.332475,79.0,51.470917
116,2,2.362,80.0,46.538
116,2,2.391525,81.0,42.035636
116,2,2.42105,82.0,37.849307
116,2,2.450575,83.0,33.662943
116,2,2.4801,84.0,29.476614
116,2,2.509625,85.0,25.29025
116,2,2.53915,86.0,21.103886
116,2,2.568675,87.0,16.886382
116,2,2.5982,88.0,12.562993
116,2,2.627725,89.0,8.419009
116,2,2.65725,90.0,5.71
116,2,2.686775,91.0,3.000991
116,2,2.7163,92.0,0.292005
116,2,2.745825,93.0,0.19965
116,2,2.77535,94.0,0.2847
116,2,2.804875,95.0,0.36975
116,2,2.8344,96.0,0.4652
116,2,2.863925,97.0,0.5639
116,2,2.89345,98.0,0.6626
116,2,2.922975,99.0,0.7613
116,2,2.9525,100.0,0.86
116,3,0.0,0.0,0.86
116,3,0.029525,1.0,1.293268
116,3,0.05905,2.0,1.726533
116,3,0.088575,3.0,2.159801
116,3,0.1181,4.0,3.181685
116,3,0.147625,5.0,4.263778
116,3,0.17715,6.0,5.34587
116,3,0.206675,7.0,6.427954
116,3,0.2362,8.0,7.937604
116,3,0.265725,9.0,10.614791
116,3,0.29525,10.0,13.43
116,3,0.324775,11.0,16.298438
116,3,0.3543,12.0,19.166852
116,3,0.383825,13.0,22.052472
116,3,0.41335,14.0,25.07239
116,3,0.442875,15.0,28.092333
116,3,0.4724,16.0,31.133264
116,3,0.501925,17.0,35.170868
116,3,0.53145,18.0,39.208507
116,3,0.560975,19.0,43.246111
116,3,0.5905,20.0,47.28375
116,3,0.620025,21.0,49.89738
116,3,0.64955,22.0,52.34731
116,3,0.679075,23.0,54.797261
116,3,0.7086,24.0,57.813585
116,3,0.738125,25.0,62.225714
116,3,0.76765,26.0,66.637843
116,3,0.797175,27.0,71.049935
116,3,0.8267,28.0,74.110004
116,3,0.856225,29.0,76.534992
116,3,0.88575,30.0,78.96
116,3,0.915275,31.0,81.35794
116,3,0.9448,32.0,83.407863
116,3,0.974325,33.0,85.457803
116,3,1.00385,34.0,87.507726
116,3,1.033375,35.0,89.557667
116,3,1.0629,36.0,91.284904
116,3,1.092425,37.0,92.589548
116,3,1.12195,38.0,93.908002
116,3,1.151475,39.0,95.249829
116,3,1.181,40.0,96.591667
116,3,1.210525,41.0,97.695902
116,3,1.24005,42.0,98.184133
116,3,1.269575,43.0,98.672367
116,3,1.2991,44.0,99.335911
116,3,1.328625,45.0,100.768908
116,3,1.35815,46.0,102.201904
116,3,1.387675,47.0,103.634888
116,3,1.4172,48.0,104.998416
116,3,1.446725,49.0,105.709441
116,3,1.47625,50.0,106.420472
116,3,1.505775,51.0,107.131502
116,3,1.5353,52.0,107.76151
116,3,1.564825,53.0,108.293934
116,3,1.59435,54.0,108.826354
116,3,1.623875,55.0,109.358778
116,3,1.6534,56.0,109.891202
116,3,1.682925,57.0,109.805667
116,3,1.71245,58.0,109.396341
116,3,1.741975,59.0,108.487317
116,3,1.7715,60.0,107.578286
116,3,1.801025,61.0,106.669254
116,3,1.83055,62.0,105.805944
116,3,1.860075,63.0,104.966199
116,3,1.8896,64.0,104.12646
116,3,1.919125,65.0,103.155625
116,3,1.94865,66.0,99.772739
116,3,1.978175,67.0,96.389881
116,3,2.0077,68.0,93.006994
116,3,2.037225,69.0,90.124953
116,3,2.06675,70.0,87.790549
116,3,2.096275,71.0,85.456146
116,3,2.1258,72.0,82.230658
116,3,2.155325,73.0,77.353967
116,3,2.18485,74.0,72.477316
116,3,2.214375,75.0,67.600625
116,3,2.2439,76.0,62.332878
116,3,2.273425,77.0,55.732061
116,3,2.30295,78.0,49.25639
116,3,2.332475,79.0,43.414595
116,3,2.362,80.0,37.57275
116,3,2.391525,81.0,31.730905
116,3,2.42105,82.0,25.992806
116,3,2.450575,83.0,22.665694
116,3,2.4801,84.0,19.338611
116,3,2.509625,85.0,16.0115
116,3,2.53915,86.0,13.383591
116,3,2.568675,87.0,10.793704
116,3,2.5982,88.0,8.203796
116,3,2.627725,89.0,5.613909
116,3,2.65725,90.0,4.098667
116,3,2.686775,91.0,2.811796
116,3,2.7163,92.0,1.524935
116,3,2.745825,93.0,1.538551
116,3,2.77535,94.0,2.028398
116,3,2.804875,95.0,2.51825
116,3,2.8344,96.0,3.008102
116,3,2.863925,97.0,3.078629
116,3,2.89345,98.0,2.879085
116,3,2.922975,99.0,2.679544
116,3,2.9525,100.0,2.48
118,1,0.0,0.0,2.64
118,1,0.029525,1.0,2.576852
118,1,0.05905,2.0,2.517612
118,1,0.088575,3.0,2.493657
118,1,0.1181,4.0,2.469702
118,1,0.147625,5.0,2.445746
118,1,0.17715,6.0,2.421791
118,1,0.206675,7.0,2.5586
118,1,0.2362,8.0,2.7088
118,1,0.265725,9.0,2.865733
118,1,0.29525,10.0,3.022667
118,1,0.324775,11.0,3.1796
118,1,0.3543,12.0,3.336533
118,1,0.383825,13.0,3.6148
118,1,0.41335,14.0,3.914399
118,1,0.442875,15.0,4.1069
118,1,0.4724,16.0,4.297361
118,1,0.501925,17.0,4.48782
118,1,0.53145,18.0,4.67828
118,1,0.560975,19.0,4.976648
118,1,0.5905,20.0,5.517
118,1,0.620025,21.0,6.630495
118,1,0.64955,22.0,8.475642
118,1,0.679075,23.0,10.320803
118,1,0.7086,24.0,12.16595
118,1,0.738125,25.0,14.495
118,1,0.76765,26.0,18.411212
118,1,0.797175,27.0,22.321934
118,1,0.8267,28.0,26.223166
118,1,0.856225,29.0,30.124368
118,1,0.88575,30.0,34.0256
118,1,0.915275,31.0,37.926832
118,1,0.9448,32.0,44.536921
118,1,0.974325,33.0,51.281646
118,1,1.00385,34.0,55.394707
118,1,1.033375,35.0,59.5078
118,1,1.0629,36.0,63.620893
118,1,1.092425,37.0,67.733954
118,1,1.12195,38.0,71.257005
118,1,1.151475,39.0,74.41349
118,1,1.181,40.0,77.060066
118,1,1.210525,41.0,79.534537
118,1,1.24005,42.0,82.00899
118,1,1.269575,43.0,84.483461
118,1,1.2991,44.0,86.941112
118,1,1.328625,45.0,89.030339
118,1,1.35815,46.0,91.085028
118,1,1.387675,47.0,93.006264
118,1,1.4172,48.0,94.927514
118,1,1.446725,49.0,96.84875
118,1,1.47625,50.0,98.77
118,1,1.505775,51.0,100.610406
118,1,1.5353,52.0,102.399153
118,1,1.564825,53.0,103.844847
118,1,1.59435,54.0,105.290529
118,1,1.623875,55.0,106.736222
118,1,1.6534,56.0,108.181916
118,1,1.682925,57.0,108.99997
118,1,1.71245,58.0,109.767315
118,1,1.741975,59.0,110.534655
118,1,1.7715,60.0,110.682
118,1,1.801025,61.0,110.501628
118,1,1.83055,62.0,110.321257
118,1,1.860075,63.0,109.744648
118,1,1.8896,64.0,108.530204
118,1,1.919125,65.0,106.877889
118,1,1.94865,66.0,104.811594
118,1,1.978175,67.0,102.745314
118,1,2.0077,68.0,100.679019
118,1,2.037225,69.0,98.367259
118,1,2.06675,70.0,95.505
118,1,2.096275,71.0,92.345856
118,1,2.1258,72.0,88.807739
118,1,2.155325,73.0,85.269595
118,1,2.18485,74.0,81.731477
118,1,2.214375,75.0,77.93
118,1,2.2439,76.0,73.264786
118,1,2.273425,77.0,68.737667
118,1,2.30295,78.0,64.451233
118,1,2.332475,79.0,60.164833
118,1,2.362,80.0,55.8784
118,1,2.391525,81.0,51.591967
118,1,2.42105,82.0,46.048309
118,1,2.450575,83.0,39.943941
118,1,2.4801,84.0,35.415213
118,1,2.509625,85.0,31.226636
118,1,2.53915,86.0,27.03806
118,1,2.568675,87.0,22.849515
118,1,2.5982,88.0,18.660939
118,1,2.627725,89.0,14.006928
118,1,2.65725,90.0,9.853881
118,1,2.686775,91.0,7.863195
118,1,2.7163,92.0,5.872525
118,1,2.745825,93.0,3.88184
118,1,2.77535,94.0,2.057311
118,1,2.804875,95.0,2.288852
118,1,2.8344,96.0,2.504657
118,1,2.863925,97.0,2.645992
118,1,2.89345,98.0,2.787329
118,1,2.922975,99.0,2.928664
118,1,2.9525,100.0,3.07
118,2,0.0,0.0,3.07
118,2,0.029525,1.0,2.87155
118,2,0.05905,2.0,2.673099
118,2,0.088575,3.0,2.712416
118,2,0.1181,4.0,2.961854
118,2,0.147625,5.0,3.211291
118,2,0.17715,6.0,3.460729
118,2,0.206675,7.0,3.710167
118,2,0.2362,8.0,3.959602
118,2,0.265725,9.0,4.922181
118,2,0.29525,10.0,7.422203
118,2,0.324775,11.0,9.922225
118,2,0.3543,12.0,12.974893
118,2,0.383825,13.0,16.096607
118,2,0.41335,14.0,19.218354
118,2,0.442875,15.0,22.3401
118,2,0.4724,16.0,25.461846
118,2,0.501925,17.0,28.583593
118,2,0.53145,18.0,33.715576
118,2,0.560975,19.0,39.644788
118,2,0.5905,20.0,43.2248
118,2,0.620025,21.0,46.435646
118,2,0.64955,22.0,49.646493
118,2,0.679075,23.0,52.857307
118,2,0.7086,24.0,56.068154
118,2,0.738125,25.0,59.279
118,2,0.76765,26.0,63.693477
118,2,0.797175,27.0,68.645287
118,2,0.8267,28.0,71.356231
118,2,0.856225,29.0,73.638815
118,2,0.88575,30.0,75.9214
118,2,0.915275,31.0,78.203985
118,2,0.9448,32.0,80.486569
118,2,0.974325,33.0,82.769131
118,2,1.00385,34.0,84.952896
118,2,1.033375,35.0,87.08725
118,2,1.0629,36.0,89.132483
118,2,1.092425,37.0,90.815667
118,2,1.12195,38.0,92.498833
118,2,1.151475,39.0,94.182017
118,2,1.181,40.0,95.8652
118,2,1.210525,41.0,97.548383
118,2,1.24005,42.0,99.224406
118,2,1.269575,43.0,100.617594
118,2,1.2991,44.0,102.010797
118,2,1.328625,45.0,103.2
118,2,1.35815,46.0,104.226002
118,2,1.387675,47.0,105.252004
118,2,1.4172,48.0,106.277996
118,2,1.446725,49.0,107.303998
118,2,1.47625,50.0,108.33
118,2,1.505775,51.0,109.111652
118,2,1.5353,52.0,109.893303
118,2,1.564825,53.0,110.338727
118,2,1.59435,54.0,110.487029
118,2,1.623875,55.0,110.635331
118,2,1.6534,56.0,110.783633
118,2,1.682925,57.0,110.931934
118,2,1.71245,58.0,111.080235
118,2,1.741975,59.0,110.739882
118,2,1.7715,60.0,110.365085
118,2,1.801025,61.0,109.946299
118,2,1.83055,62.0,109.484598
118,2,1.860075,63.0,109.022902
118,2,1.8896,64.0,108.561201
118,2,1.919125,65.0,108.0995
118,2,1.94865,66.0,106.483195
118,2,1.978175,67.0,103.98839
118,2,2.0077,68.0,101.49361
118,2,2.037225,69.0,98.998805
118,2,2.06675,70.0,96.029556
118,2,2.096275,71.0,92.985749
118,2,2.1258,72.0,89.941943
118,2,2.155325,73.0,86.898168
118,2,2.18485,74.0,83.854362
118,2,2.214375,75.0,79.99
118,2,2.2439,76.0,74.287589
118,2,2.273425,77.0,68.585177
118,2,2.30295,78.0,63.49346
118,2,2.332475,79.0,58.51843
118,2,2.362,80.0,53.5434
118,2,2.391525,81.0,48.56837
118,2,2.42105,82.0,43.59334
118,2,2.450575,83.0,38.61836
118,2,2.4801,84.0,32.200814
118,2,2.509625,85.0,25.062
118,2,2.53915,86.0,21.593675
118,2,2.568675,87.0,18.959549
118,2,2.5982,88.0,16.325451
118,2,2.627725,89.0,13.691325
118,2,2.65725,90.0,11.0572
118,2,2.686775,91.0,8.423075
118,2,2.7163,92.0,7.431466
118,2,2.745825,93.0,7.355867
118,2,2.77535,94.0,7.280267
118,2,2.804875,95.0,7.204667
118,2,2.8344,96.0,7.676901
118,2,2.863925,97.0,8.185177
118,2,2.89345,98.0,8.693448
118,2,2.922975,99.0,9.201724
118,2,2.9525,100.0,9.71
118,3,0.0,0.0,9.71
118,3,0.029525,1.0,10.426097
118,3,0.05905,2.0,11.142201
118,3,0.088575,3.0,11.3606
118,3,0.1181,4.0,11.4908
118,3,0.147625,5.0,11.621
118,3,0.17715,6.0,11.7512
118,3,0.206675,7.0,11.88275
118,3,0.2362,8.0,12.1385
118,3,0.265725,9.0,12.394251
118,3,0.29525,10.0,13.525111
118,3,0.324775,11.0,14.798173
118,3,0.3543,12.0,16.071247
118,3,0.383825,13.0,17.344309
118,3,0.41335,14.0,18.631207
118,3,0.442875,15.0,20.547
118,3,0.4724,16.0,22.462793
118,3,0.501925,17.0,24.734468
118,3,0.53145,18.0,27.058844
118,3,0.560975,19.0,29.38324
118,3,0.5905,20.0,31.707616
118,3,0.620025,21.0,34.031992
118,3,0.64955,22.0,37.19916
118,3,0.679075,23.0,41.360501
118,3,0.7086,24.0,45.315257
118,3,0.738125,25.0,48.876111
118,3,0.76765,26.0,52.436965
118,3,0.797175,27.0,55.997851
118,3,0.8267,28.0,59.558705
118,3,0.856225,29.0,62.865371
118,3,0.88575,30.0,65.9232
118,3,0.915275,31.0,68.981029
118,3,0.9448,32.0,72.198749
118,3,0.974325,33.0,75.452201
118,3,1.00385,34.0,78.705681
118,3,1.033375,35.0,81.959132
118,3,1.0629,36.0,84.642501
118,3,1.092425,37.0,86.709004
118,3,1.12195,38.0,88.663957
118,3,1.151475,39.0,90.425386
118,3,1.181,40.0,92.1868
118,3,1.210525,41.0,93.948214
118,3,1.24005,42.0,95.709643
118,3,1.269575,43.0,97.471057
118,3,1.2991,44.0,98.916005
118,3,1.328625,45.0,100.3575
118,3,1.35815,46.0,101.357517
118,3,1.387675,47.0,102.272642
118,3,1.4172,48.0,103.187758
118,3,1.446725,49.0,104.102883
118,3,1.47625,50.0,105.018
118,3,1.505775,51.0,105.759398
118,3,1.5353,52.0,106.298801
118,3,1.564825,53.0,106.785355
118,3,1.59435,54.0,107.15529
118,3,1.623875,55.0,107.525222
118,3,1.6534,56.0,107.895154
118,3,1.682925,57.0,108.26509
118,3,1.71245,58.0,108.41248
118,3,1.741975,59.0,108.31204
118,3,1.7715,60.0,108.2116
118,3,1.801025,61.0,107.251954
118,3,1.83055,62.0,106.056898
118,3,1.860075,63.0,104.861852
118,3,1.8896,64.0,103.666796
118,3,1.919125,65.0,102.223286
118,3,1.94865,66.0,100.514749
118,3,1.978175,67.0,98.806197
118,3,2.0077,68.0,97.09766
118,3,2.037225,69.0,94.826161
118,3,2.06675,70.0,92.336226
118,3,2.096275,71.0,89.846292
118,3,2.1258,72.0,87.356335
118,3,2.155325,73.0,83.70764
118,3,2.18485,74.0,79.95972
118,3,2.214375,75.0,75.945597
118,3,2.2439,76.0,71.852223
118,3,2.273425,77.0,67.758814
118,3,2.30295,78.0,63.66544
118,3,2.332475,79.0,59.57203
118,3,2.362,80.0,53.854098
118,3,2.391525,81.0,48.08202
118,3,2.42105,82.0,42.840394
118,3,2.450575,83.0,37.747257
118,3,2.4801,84.0,32.654076
118,3,2.509625,85.0,27.56094
118,3,2.53915,86.0,22.467803
118,3,2.568675,87.0,16.744522
118,3,2.5982,88.0,10.222145
118,3,2.627725,89.0,7.827955
118,3,2.65725,90.0,6.2916
118,3,2.686775,91.0,4.755245
118,3,2.7163,92.0,3.218877
118,3,2.745825,93.0,1.682523
118,3,2.77535,94.0,0.8316
118,3,2.804875,95.0,0.813
118,3,2.8344,96.0,0.7916
118,3,2.863925,97.0,0.7637
118,3,2.89345,98.0,0.7358
118,3,2.922975,99.0,0.7079
118,3,2.9525,100.0,0.68
